siCtrl_t0_Scr_rep_1	siCtrl_t0_Scr_rep_2	siCtrl_t0_Tyr_rep_1	siCtrl_t0_Tyr_rep_2	siCtrl_t8_Scr_rep_1	siCtrl_t8_Scr_rep_2	siCtrl_t8_Tyr_rep_1	siCtrl_t8_Tyr_rep_2
AHNAK2	4543	4485	2104	3249	1444	1671	1633	877
AHR	1368	1120	821	1235	105	117	103	101
AHRR	258	186	124	233	240	262	250	156
AHSA1	10027	8318	5792	9472	6462	7279	6375	3711
AHSA2	1570	1356	1012	1504	1698	1834	1862	1189
AHSG	4	5	0	1	1	5	3	0
AHSP	0	0	0	0	0	0	0	0
AICDA	0	0	0	2	0	0	0	0
AIDA	1629	1315	960	1552	1210	1398	1223	942
AIF1	0	2	0	0	0	0	0	1
AIF1L	969	785	535	915	805	1015	884	432
AIFM1	3093	2709	1773	2839	2475	2953	2540	1471
AIFM2	1623	1414	1087	1668	1229	1403	1441	991
AIFM3	12	11	7	10	8	13	7	10
AIG1	1864	1626	1109	1790	1840	2054	1849	1179
AIM1	7719	6217	4849	7689	1544	1834	2094	1053
AIM1L	103	98	73	91	70	64	57	41
AIM2	6	5	4	5	2	8	3	5
AIMP1	3660	3071	2264	3497	2970	3344	3114	2289
AIMP2	3059	2532	1785	2829	1068	1217	1105	624
AIP	1432	1326	855	1327	995	1092	908	563
AIPL1	0	1	0	0	1	0	0	0
AIRE	0	0	0	0	2	2	2	1
AIRN	1	1	0	0	0	0	1	0
AJAP1	0	2	0	0	0	0	0	0
AJUBA	4002	3177	2368	3621	438	393	412	287
AK1	1786	1570	1078	1774	2132	2487	2195	1209
AK2	9628	8111	5423	9167	7394	8740	7775	4556
AK3	3161	2432	1596	2587	3029	3476	3121	2873
AK4	4487	3529	2512	4000	1944	2266	2008	1301
AK5	0	7	1	5	1	2	3	3
AK6	1740	1439	1038	1664	585	685	699	395
AK7	3	4	6	3	4	3	3	4
AK8	12	11	6	8	7	15	6	6
AK9	114	91	63	115	74	90	95	57
AKAP1	5644	4733	3215	5111	1444	1629	1395	764
