	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
MIR4731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4732	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR4733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MIR4735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4736	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MIR4737	9	3	5	4	4	1	16	3	0	4	0	0	0	0	3	0
MIR4738	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR4739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4740	3	3	1	3	2	1	3	3	2	3	3	0	2	1	2	3
MIR4741	63	42	29	51	48	34	93	45	26	32	40	21	17	37	40	20
MIR4742	7	4	1	7	8	3	5	2	6	4	3	4	3	1	3	2
MIR4743	2	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0
MIR4744	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0
MIR4745	4	1	0	5	1	1	1	1	0	0	0	0	0	0	1	0
MIR4746	12	4	5	5	11	4	12	3	8	10	19	6	5	13	16	11
MIR4747	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1
MIR4748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4749	8	3	4	7	4	4	8	4	3	7	4	3	0	5	7	2
MIR4750	2	4	1	3	5	1	5	10	2	2	0	0	2	1	4	0
MIR4751	219	188	142	196	165	128	290	203	127	138	126	66	59	130	166	74
MIR4752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4753	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR4754	3	3	2	0	2	0	3	1	1	4	3	2	0	3	1	3
MIR4755	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0
MIR4756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4758	101	118	74	107	112	87	167	146	87	110	97	56	75	104	136	56
MIR4759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4761	144	139	75	148	99	96	216	119	174	212	136	86	96	158	170	70
MIR4762	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0
MIR4763	19	22	11	23	17	11	33	20	0	1	0	0	0	0	0	1
MIR4764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4765	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MIR4766	1	0	0	1	3	3	3	2	2	0	1	2	1	0	0	1
MIR4767	4	1	0	1	1	0	1	0	2	0	0	0	0	2	1	0
MIR4768	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR4769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4770	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4771-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4771-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4773-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4773-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4774	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR4775	60	56	51	63	89	60	114	87	40	37	34	20	37	71	79	29
MIR4776-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4776-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4778	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR4779	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
MIR4780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4781	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MIR4782	0	1	1	1	1	1	2	2	0	0	0	0	0	0	3	2
MIR4783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4784	17	16	7	21	14	15	23	17	3	7	4	1	0	9	9	5
MIR4785	10	2	0	7	0	3	7	1	0	0	0	0	0	0	0	0
MIR4786	0	0	1	3	0	1	1	1	1	0	0	0	0	0	1	0
MIR4787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4793	8	8	6	7	3	1	11	5	0	4	4	4	0	3	5	2
MIR4794	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MIR4795	0	0	0	0	0	1	0	0	1	2	0	0	1	1	0	0
MIR4796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4800	44	44	11	39	20	17	36	26	22	24	14	5	4	21	15	8
MIR4801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4804	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
MIR483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR484	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MIR485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR486-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR486-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR487A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR487B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR491	2	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1
MIR492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR497HG	656	563	338	516	617	475	973	756	716	783	690	382	440	900	933	417
MIR498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4999	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MIR499A	0	0	0	0	0	1	0	0	1	7	6	0	1	5	2	1
MIR499B	0	0	0	0	0	1	0	0	0	4	6	0	1	4	1	1
MIR5000	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MIR5001	13	17	5	6	21	13	27	19	8	12	8	0	5	13	21	7
MIR5002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5004	14	9	13	6	9	7	10	6	7	11	12	3	7	7	6	4
MIR5006	36	22	16	22	33	34	49	25	10	20	17	10	12	26	34	8
MIR5007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5008	2	1	1	0	3	1	6	3	0	0	0	1	0	0	0	0
MIR5009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR500A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR500B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5010	24	18	11	24	27	20	36	26	24	22	33	12	4	32	35	12
MIR5011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR503	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR503HG	11	5	4	4	6	5	7	4	3	2	4	0	5	2	1	1
MIR504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5047	716	603	437	619	650	587	1004	700	283	217	211	105	104	247	227	111
MIR505	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MIR506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5087	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1
MIR5088	5	13	8	9	6	4	5	4	20	8	14	3	1	4	3	0
MIR5089	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
MIR509-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR509-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR509-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5090	36	31	16	30	24	19	59	32	20	30	30	21	15	25	37	12
MIR5091	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0
MIR5092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5093	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1
MIR5094	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MIR5095	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5096	1	0	0	0	1	1	0	1	1	1	3	1	0	0	0	0
MIR510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR512-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR512-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR513A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR513A2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR513B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR513C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR514A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR514A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR514A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR514B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR515-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR515-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR516A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR516A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR516B1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR516B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR517A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR517B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR517C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5187	62	54	35	66	40	29	65	54	13	15	17	15	7	14	10	8
MIR5188	1	2	1	2	0	1	0	0	6	2	9	11	3	4	2	2
MIR5189	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1
MIR518A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR518A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR518B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR518C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR518D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR518E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR518F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5192	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
MIR5193	8	4	4	7	11	11	12	6	7	10	4	3	9	11	16	14
MIR5194	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1
MIR5195	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR519A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR519A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR519B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR519C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR519D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR519E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR521-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR521-2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR526A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR526A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR526B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
MIR543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR544A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR544B	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0
MIR545	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548A3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
MIR548AA1	8	6	3	5	2	4	5	4	1	1	2	2	4	1	0	1
MIR548AA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR548AD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AJ1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AJ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AK	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1
MIR548AL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AN	0	1	2	0	3	1	2	3	0	0	0	0	0	0	0	0
MIR548AO	0	2	1	0	0	1	1	2	0	0	0	0	0	0	1	0
MIR548AP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AQ	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
MIR548AR	2	2	0	0	1	2	1	0	1	1	2	3	7	0	0	0
MIR548AS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AU	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AY	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0
MIR548AZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548BA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548BB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548C	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MIR548D1	8	6	3	5	2	4	5	4	1	1	2	2	4	1	0	1
MIR548D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548E	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MIR548F1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548F4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MIR548F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548H1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548H3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
MIR548H4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548H5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548I1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MIR548I2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548I3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548I4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548J	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MIR548K	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
MIR548L	1	0	0	2	2	1	2	1	1	0	1	0	1	0	0	0
MIR548M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548O	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MIR548O2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR548T	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
MIR548U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548X2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548Z	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MIR549A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR550A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR550A2	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0
MIR550A3	0	0	1	0	0	2	1	0	1	1	0	0	0	0	0	0
MIR550B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR550B2	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0
MIR551A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR551B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR552	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR553	1	1	1	1	1	1	4	0	0	0	0	0	0	0	0	0
MIR554	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
MIR555	68	60	46	50	53	44	104	67	29	44	36	22	16	44	39	29
MIR556	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
MIR557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5572	9	4	3	3	4	2	4	4	1	2	1	1	0	1	3	0
MIR5579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5581	8	12	10	4	11	8	11	15	16	12	13	18	9	10	24	12
MIR5582	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
MIR5583-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MIR5583-2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MIR5584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5585	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR5586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5587	9	18	13	11	24	13	31	25	21	30	21	9	11	37	35	12
MIR5588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR559	2	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0
MIR5590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR562	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
MIR563	3	3	0	3	6	0	1	0	1	2	1	0	0	0	1	0
MIR564	16	21	5	13	13	14	36	15	13	11	14	3	4	20	23	10
MIR566	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
MIR567	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
MIR568	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
MIR5680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5681A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5681B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5684	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1
MIR5685	6	2	0	3	2	0	4	1	0	0	0	0	0	0	1	0
MIR5687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5690	0	1	0	0	1	2	2	4	0	0	1	0	2	0	0	0
MIR5691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5692A1	0	0	1	2	1	0	1	0	2	0	1	0	0	0	0	0
MIR5692A2	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0
MIR5692B	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0
MIR5692C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5692C2	1	0	2	0	0	0	1	0	0	5	0	2	1	1	6	1
MIR5693	1	1	2	0	0	0	1	0	1	1	0	0	0	0	0	4
MIR5694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5695	1	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1
MIR5696	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5697	1	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0
MIR5698	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR570	40	20	15	31	45	20	49	44	23	22	27	19	15	23	31	9
MIR5700	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
MIR5701-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5701-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5701-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5703	2	3	2	4	5	0	8	2	0	1	1	0	0	0	1	0
MIR5704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5706	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR5707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR571	0	0	1	2	1	2	3	1	0	0	0	0	0	1	0	0
MIR572	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR573	10	6	4	4	9	4	8	1	0	1	0	2	0	0	2	0
MIR5739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR574	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0
MIR575	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR576	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
MIR577	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MIR578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
