siCtrl_t0_Scr_rep_1	siCtrl_t0_Scr_rep_2	siCtrl_t0_Tyr_rep_1	siCtrl_t0_Tyr_rep_2	siCtrl_t8_Scr_rep_1	siCtrl_t8_Scr_rep_2	siCtrl_t8_Tyr_rep_1	siCtrl_t8_Tyr_rep_2
ABCC4	987.341416678619	953.451119766799	1051.78013012429	1020.74220882973	895.907449835348	918.683555905807	929.629573092832	809.603558698834
ABCC5	1323.83153693099	1301.5608985508	1488.13287807456	1420.87888115499	1958.76878139854	1880.14395144359	1971.63195172436	1919.51559578704
ABCC5-AS1	1.3017025928525	0	1.1333837609098	0	2.35146312292742	0	0	0
ABCC6	2.60340518570499	5.39108064488497	3.40015128272939	3.57904000290929	4.70292624585484	8.14796945371004	13.6209461259023	10.5371395926096
ABCC6P1	0	0	0	0	0	0	0	0
ABCC6P2	0	0.77015437784071	0	0	0	0	0	0
ABCC8	0	0.77015437784071	0	0	0	0	0	0
ABCC9	0.650851296426249	2.31046313352213	0	0.715808000581857	0	0	0	0
ABCD1	83.3089659425598	75.4751290283896	65.7362581327683	64.4227200523671	132.857666445399	146.663450166781	139.614697790499	140.495194568127
ABCD2	11.7153233356725	11.5523156676107	20.4009076963764	13.6003520110553	3.52719468439113	6.11097709028253	1.13507884382519	1.75618993210159
ABCD3	1654.46399551552	1546.46999070415	1702.34240888652	1655.66390534584	2202.14521462153	2040.04785197265	2166.86551286229	2418.27353650389
ABCD4	611.800218640674	582.236709647577	651.695662523134	632.774272514362	671.342721595779	632.486128844242	649.26509866801	593.592197050338
ABCE1	6219.53498864923	5984.09951582232	6229.07714996025	6248.28803707903	4705.27770897777	4554.71492462391	4622.04105205618	5939.43435036759
ABCF1	3689.6759994404	3721.38595372631	3861.43847341968	3878.2477471525	2433.76433222988	2572.72135500895	2397.2865181588	1991.51938300321
ABCF2	3985.81333931435	3836.90911040242	4063.18078286163	4170.2974113899	4473.65859136942	4567.95537498619	4654.95833852711	4148.12061962396
ABCF3	1460.5103091805	1511.04288932347	1536.86837979369	1455.9534731835	1002.89902192855	1015.44069316861	879.686103964523	953.611133131165
ABCG1	18.8746875963612	54.6809608266904	34.0015128272939	32.2113600261836	4.70292624585484	11.2034579988513	14.7560249697275	5.26856979630478
ABCG2	37.0985238962962	39.2778732698762	44.2019666754821	40.085248032584	37.6234099668388	44.8138319954052	40.8628383777069	59.7104576914542
ABCG4	1.3017025928525	3.85077188920355	1.1333837609098	0.715808000581857	7.05438936878227	0	0	3.51237986420319
ABCG5	0	0.77015437784071	0	0.715808000581857	1.17573156146371	2.03699236342751	2.27015768765038	3.51237986420319
ABCG8	0	0.77015437784071	0	0	1.17573156146371	0	2.27015768765038	1.75618993210159
ABHD1	33.1934161177387	25.4150944687434	26.0678265009254	30.063936024438	29.3932890365928	27.4993969062714	30.6471287832802	26.3428489815239
ABHD10	924.859692221699	886.447688894657	938.441754033313	936.992672761651	858.284039868509	887.110174272681	846.768817493593	988.734931773197
ABHD11	635.881716608445	573.765011491329	684.563791589518	651.38528052949	614.907606645521	561.191396124279	582.295446882323	419.729393772281
ABHD11-AS1	10.41362074282	9.24185253408852	10.2004538481882	7.87388800640043	17.6359734219557	19.3514274525613	4.54031537530077	21.0742791852191
ABHD12	1059.58591058193	1031.23671192871	1083.51487542977	1105.20755289839	1949.36292890683	1847.55207362875	1805.91044052588	1698.23566434224
ABHD12B	13.6678772249512	11.5523156676107	9.06707008727838	7.87388800640043	5.87865780731856	8.14796945371004	10.2157095944267	7.02475972840637
ABHD13	425.00589656634	400.480276477169	427.285677862994	416.600256338641	125.803277076617	103.886610534803	119.183278601645	177.375183142261
ABHD14A	185.492619481481	177.135506903363	171.14094789738	183.246848148955	282.175574751291	290.27141178842	287.174947487773	258.159920018934
ABHD14A-ACY1	1347.26218360233	1417.85420960475	1332.85930282992	1407.27852914393	2700.65539668214	2667.44149990832	2455.17553919389	2374.36878820135
ABHD14B	799.245392011433	865.653520692958	765.034038614114	809.57884865808	1821.20818870729	1679.50020364598	1555.05801604051	1494.51763221846
ABHD15	266.849031534762	255.691253443116	244.810892356516	249.816992203068	295.108621927391	303.511862150699	282.634632112473	259.916109951036
ABHD16A	638.48512179415	715.47341701402	663.029500132232	673.575328547528	992.317437875372	1002.20024280634	1019.30080175502	899.169245236016
ABHD16B	193.953686335022	180.986278792567	165.474029092831	148.172256120444	221.037533555178	223.050663795312	214.529901482961	212.498981784293
ABHD17A	608.545962158543	591.478562181665	510.022692409409	512.51852841661	980.560122260735	909.517090270383	802.50074258441	663.839794334402
ABHD17B	412.639721934242	396.629504587966	371.749873578414	387.252128314785	64.6652358805041	66.2022518113941	69.2398094733367	93.0780664013844
ABHD17C	1116.86082466744	1054.34134326393	1022.31215234064	1088.743968885	175.184002658093	150.737434893636	140.749776634324	135.226624771823
ABHD2	2524.00132754099	2455.25215655618	2568.2476022216	2496.73830602952	1675.41747508579	1690.70366164483	1895.58166918807	1879.1232273487
ABHD3	378.144603223651	398.939967721488	448.81996932028	435.211264353769	674.86991628017	779.149579011023	772.988692644955	867.557826458187
ABHD4	226.496251156335	229.506004596532	248.211043639246	251.248608204232	395.045804651807	438.971854318628	451.761379842426	539.150309155189
ABHD5	873.442439804026	836.387654335011	793.368632636859	865.411872703465	804.200388041178	836.185365186993	872.875630901572	934.293043878047
ABHD6	133.424515767381	158.651801835186	142.806353874635	144.593216117535	74.0710883722138	60.0912747211115	66.9696517856863	56.198077827251
ABHD8	139.933028731643	164.813036857912	116.738527373709	113.813472092515	196.34717076444	198.606755434182	192.963403450283	175.618993210159
ABI1	1363.53346601299	1257.66209901388	1282.99041734989	1282.72793704269	1329.75239601546	1329.13751713645	1412.03808171854	1659.59948583601
ABI2	1131.17955318882	1180.64666122981	1226.3212293044	1248.36915301476	852.405382061191	849.425815549272	847.903896337418	888.632105643406
ABI3	0	0.77015437784071	0	0	0	0	0	0
ABI3BP	3.90510777855749	8.47169815624781	6.80030256545879	5.72646400465486	9.40585249170969	4.07398472685502	3.40523653147557	10.5371395926096
ABL1	2856.58634001481	2868.0549030788	2964.93191854003	2886.85366634663	1113.41778870613	1113.21632661313	1138.48408035667	1073.03204851407
ABL2	2047.57817855698	2052.46141694549	2150.02899444589	2067.96931368099	591.392975416247	600.912747211116	679.91222745129	855.264496933476
