siHNRNPa1_t0_Scr_rep_1	siHNRNPa1_t0_Scr_rep_2	siHNRNPa1_t0_Tyr_rep_1	siHNRNPa1_t0_Tyr_rep_2	siHNRNPa1_t8_Scr_rep_1	siHNRNPa1_t8_Scr_rep_2	siHNRNPa1_t8_Tyr_rep_1	siHNRNPa1_t8_Tyr_rep_2
ADGRA1	0	0	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0	0	0
ADGRA2	19	13	33	14	12	24	14	13
ADGRA3	3081	2545	5271	3721	1588	2755	2811	1394
ADGRB1	0	1	0	1	0	0	0	0
ADGRB2	38	37	79	54	34	70	65	29
ADGRB3	0	0	0	0	0	1	1	0
ADGRD1	0	1	1	1	0	0	0	0
ADGRE1	0	0	0	0	0	0	0	0
ADGRE2	302	259	567	421	240	432	422	222
ADGRE3	0	0	0	1	0	1	1	0
ADGRE4P	0	0	0	0	0	0	0	0
ADGRE5	2109	1640	3308	2630	508	1025	991	483
ADGRF1	36	20	85	40	23	29	43	17
ADGRF2	1	0	0	0	0	5	4	5
ADGRF3	159	133	284	213	88	155	205	82
ADGRF4	89	50	160	87	32	78	62	45
ADGRF5	0	0	0	0	0	1	0	1
ADGRG1	504	431	780	648	186	366	421	186
ADGRG2	194	133	286	218	183	303	278	146
ADGRG3	1	2	0	1	1	1	2	2
ADGRG4	0	1	0	0	0	1	0	0
ADGRG5	1	0	0	0	0	1	0	0
ADGRG6	857	799	1481	1091	509	767	806	400
ADGRG7	0	0	0	0	0	1	0	1
ADGRL1	1218	1011	2113	1555	483	955	970	454
ADGRL2	648	596	1220	815	164	308	322	173
ADGRL3	11	13	32	14	2	14	6	3
ADGRL3-AS1	0	0	0	0	0	0	0	0
ADGRL4	0	0	0	0	0	2	0	0
ADGRV1	0	1	1	1	1	1	4	0
ADH1A	10	6	14	11	5	11	12	8
ADH1B	0	1	3	2	2	0	0	2
ADH1C	1	0	0	1	0	0	1	0
ADH4	1	2	3	1	0	1	2	0
ADH5	5359	4549	9013	6454	3692	6735	7300	3427
ADH6	23	28	49	39	27	45	57	30
ADH7	0	0	0	0	0	0	0	0
ADHFE1	6	3	11	5	17	37	35	19
ADI1	4175	3419	6975	5219	3843	6651	7211	3116
ADIG	0	0	0	0	1	0	0	1
ADIPOQ	0	0	0	0	1	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0	0	0
ADIPOR1	10077	8033	17248	12537	7028	12800	14255	6535
ADIPOR2	3482	2926	6155	4568	1966	3647	3859	1853
ADIRF	3058	2523	5062	3959	3261	6691	7065	3200
ADK	2427	2190	4284	3211	1743	2840	2978	1442
ADM	220	229	477	326	36	53	69	39
ADM2	37	26	59	30	9	13	16	5
ADM5	95	68	196	143	60	109	139	58
ADNP	4968	4240	8133	6148	535	941	1018	466
ADNP-AS1	47	27	92	48	30	59	60	30
ADNP2	1609	1440	2846	2085	363	563	735	390
ADO	448	354	830	556	252	349	384	165
ADORA1	121	111	187	169	9	16	16	8
ADORA2A	9	3	6	7	7	8	9	6
ADORA2A-AS1	3	3	3	1	7	4	10	2
ADORA2B	946	782	1618	1164	212	327	319	126
ADORA3	0	0	0	0	0	1	1	0
ADPGK	3318	2639	5796	3922	2197	4159	4257	2050
ADPGK-AS1	193	95	473	178	45	127	163	77
ADPRH	0	0	0	0	0	5	2	4
ADPRHL1	41	36	70	41	60	120	122	68
ADPRHL2	1166	941	2066	1358	314	653	726	367
ADPRM	154	127	279	209	88	90	119	71
ADRA1A	0	0	1	0	0	1	1	0
ADRA1B	15	11	16	18	2	3	4	4
ADRA1D	3	1	5	2	8	11	13	3
ADRA2A	0	0	0	0	19	17	39	13
ADRA2B	0	0	0	0	1	4	1	0
ADRA2C	15	10	21	15	6	8	9	13
ADRB1	14	11	16	16	0	1	3	0
ADRB2	352	278	627	381	119	195	226	111
ADRB3	0	0	0	0	0	0	0	0
ADRBK1	3401	2813	5936	4507	2057	4156	4711	2091
ADRBK2	524	476	922	629	302	455	494	266
ADRM1	6147	4688	10528	7848	1637	3026	3449	1571
ADSL	4226	3588	7142	5271	1501	2978	3035	1414
ADSS	8713	7264	14925	10978	3546	6018	5702	3014
ADSSL1	70	62	142	110	56	99	99	54
ADTRP	97	73	130	81	50	82	117	50
AEBP1	3	7	4	4	1	3	5	1
AEBP2	912	787	1508	1070	99	115	140	65
AEN	2781	2136	4709	3345	496	904	1094	453
AES	4784	3736	7877	6126	2946	6107	7024	2850
AFAP1	1801	1468	3051	2035	260	516	541	290
AFAP1-AS1	251	188	354	245	35	66	65	37
AFAP1L1	839	635	1427	1054	388	717	670	324
AFAP1L2	107	79	222	142	32	52	47	33
AFF1	2531	2234	3963	2898	544	954	890	469
AFF2	10	8	12	9	2	6	5	3
AFF3	0	0	1	0	0	0	0	0
AFF4	6136	5198	9988	7065	2545	3390	3862	1911
AFG3L1P	972	750	1648	1175	246	581	631	322
AFG3L2	5972	4822	9944	7349	2480	4536	4657	2350
AFM	0	0	0	0	0	0	0	0
AFMID	518	417	900	714	369	652	765	342
AFP	0	0	0	2	1	3	1	0
AFTPH	902	794	1567	1148	322	446	457	226
AGA	343	293	538	420	311	546	567	264
AGAP1	1412	1133	2389	1805	504	887	901	495
AGAP1-IT1	6	7	12	13	12	23	32	10
AGAP11	46	30	68	57	53	108	108	47
AGAP2	370	284	639	510	68	166	162	104
AGAP2-AS1	482	334	776	615	82	195	198	130
AGAP3	2354	1855	3895	2964	763	1504	1828	803
AGAP4	50	60	111	90	39	95	104	56
AGAP5	87	55	106	79	120	198	232	98
AGAP6	254	192	410	297	147	305	288	120
AGAP7P	5	0	8	6	5	7	9	3
AGAP9	145	141	244	207	173	319	377	155
AGBL1	0	0	0	0	0	0	0	0
AGBL1-AS1	3	2	4	3	0	1	0	0
AGBL2	2	2	2	3	4	4	8	7
AGBL3	65	48	64	64	63	94	136	48
AGBL4	0	0	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0	0	0
AGBL5	1547	1202	2517	1864	1164	2296	2475	1129
AGBL5-AS1	1	0	1	0	0	2	1	0
AGER	90	62	146	102	139	221	292	114
AGFG1	4101	3433	6592	4903	1354	2073	2069	1053
AGFG2	797	628	1444	969	149	296	329	157
AGGF1	1169	1027	2006	1515	636	962	1070	583
AGK	1859	1505	3045	2154	1288	2307	2503	1201
AGL	997	868	1613	1202	681	887	935	435
AGMAT	3	1	7	3	3	3	5	1
AGMO	0	0	0	0	0	0	0	0
AGO1	1490	1181	2406	1787	695	1324	1521	712
AGO2	1617	1334	2749	1920	708	1157	1312	567
AGO3	277	194	443	265	160	275	309	126
AGO4	473	383	797	591	148	290	331	130
AGPAT1	1658	1275	2640	1955	932	1944	2106	941
AGPAT2	855	594	1533	1089	409	919	992	414
AGPAT3	4863	3879	8089	5851	2029	3882	3982	1836
AGPAT4	342	267	573	388	130	268	251	108
AGPAT4-IT1	50	40	62	39	7	7	7	2
AGPAT5	3324	2788	5142	4124	1983	2728	2744	1352
AGPS	2598	2212	4420	3156	1815	2424	2561	1323
AGR2	12	16	39	16	16	14	12	13
AGR3	0	0	0	0	0	0	0	2
AGRN	13855	10520	23563	16270	8484	16401	19474	8436
AGRP	1	0	3	1	0	0	0	0
AGT	1	1	0	0	1	0	2	0
AGTPBP1	453	429	747	541	184	328	348	153
AGTR1	0	0	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0	0	0
AGTRAP	2053	1803	3491	2768	1350	2559	3024	1201
AGXT	0	0	0	0	0	0	0	0
AGXT2	0	1	1	1	1	2	3	1
AHCTF1	5829	4878	9744	6792	1687	2837	3005	1566
AHCTF1P1	112	91	188	104	20	59	64	35
AHCY	12722	10147	22142	16938	7927	15828	17272	7628
