AD_C1	AD_C2	AD_C3	AD_T1	AD_T2	AD_T3
Mir6341	3086.62941871756	3437.7874861919	3122.55210851659	3419.12034068351	3573.88741794181	3109.64568129931
Gm2383	0	0	0	0	0	0
Gm6216	27.0838889993372	17.313982862746	18.3622686666095	16.3125970452458	12.4994717334527	6.48067873837995
Gm17644	892.834409771253	889.746341557781	899.751164663865	519.828092508498	523.054817153712	564.899163362119
Gm29663	0	0	0	0	0	0
Sulf1	102.731992756107	138.511862901968	117.905093543492	94.6130628624255	142.30167819623	113.411877921649
Slco5a1	0	0	0	0	0	0
Gm37162	57.9034868261691	50.0181727145996	61.8518523506846	85.913011104961	74.996830400716	98.2902941987625
Gm5250	920.852225977464	990.744574923799	955.804405856672	992.893406820626	1062.45509734348	1189.20454849272
Gm29283	1.86785441374739	0	0	0	0	0
Prdm14	2013.54705801969	1763.14058818963	1882.61575592396	1800.91071379513	1623.9698275232	1804.86902863882
Ncoa2	507.122473332417	509.800606514188	490.949078033559	537.228196023427	497.094375861156	614.584367023032
Gm38376	398.786917335068	415.535588705904	365.312502946231	455.665210797198	411.521069378288	379.119706195227
Gm37409	112.071264824843	131.778647344233	135.300927017122	135.938308710381	128.840708637128	111.251651675522
Gm27881	0	0	0	3.26251940904915	0	0
Gm38223	0	0	0	0	0	0
Gm37702	504.320691711796	503.067390956453	542.170143261469	477.415340190859	439.404506322144	613.504253899968
Gm23169	268.971035579624	277.023725803936	359.513891788354	286.014201526642	243.258949889502	224.663529597171
Gm38120	1098.29839528347	1032.10575620703	1058.24653631249	990.71839388126	1008.61121910707	1045.5495031253
Gm38380	1084.28948718036	1072.50504955343	972.233804137323	1089.68148262242	1052.84011908697	1140.59945795487
Gm29570	0	0	0	0	0	0
Gm7593	0	0	0	0	0	0
Tram1	47.6302875505585	35.5898536623112	41.5567132981162	51.1128040751034	56.7283717133621	46.444864291723
Lactb2	3173.48464895682	3276.19031280627	3380.5903050421	3488.72075474323	3560.42644838271	3414.23758200317
Gm38319	2409.53219373413	2369.12998838575	2357.13543567687	2461.02714089274	2395.09108369466	2276.87846341749
