WT_Input	WT_Arc_IP
Gm23255	0	0
Gm23256	0	0
Gm23258	0	0
Gm23260	0	0
Gm23261	0	0
Gm23262	668.923015002474	544.472221513642
Gm23263	0	0
Gm23264	0	0.707106781186547
Gm23265	52.3259018078045	48.0832611206852
Gm23266	0	0
Gm23267	0	0
Gm23268	0	0
Gm23269	2.82842712474619	2.12132034355964
Gm23270	0	0
Gm23271	0	0
Gm23272	0	1.41421356237309
Gm23273	0	0
Gm23274	0	0
Gm23275	0	0
Gm23276	0	0
Gm23277	0	0
Gm23278	0	0
Gm23280	0	0
Gm23282	0	0
Gm23283	0	0
Gm23286	134.350288425444	101.116269709676
Gm23287	261.629509039023	329.511760032931
Gm23288	0	0
Gm23291	0	0
Gm23292	0	0
Gm23293	0	0
Gm23294	0	0
Gm23296	25.4558441227157	36.0624458405139
Gm23297	16.9705627484771	40.3050865276332
Gm23298	28.2842712474619	14.1421356237309
Gm23299	0	0
Gm23300	0	0
Gm23301	197.989898732233	248.901586977665
Gm23302	0	0
Gm23303	0	0
Gm23304	0	0
Gm23305	144.249783362056	111.722871427475
Gm23306	0	0
Gm23307	0	0
Gm23308	0	0
Gm23310	73.5391052434009	87.6812408671319
Gm23311	0	0
Gm23312	0	0
Gm23313	35.3553390593274	26.8700576850888
Gm23314	0	0
Gm23315	0	0
Gm23316	0	0
Gm23317	0	0
Gm23318	0	0
Gm23319	0	0
Gm23320	0	0
Gm23321	0	0
Gm23322	0	0
Gm23323	0	0
Gm23324	0	0
Gm23325	0	0
Gm23326	0	0
Gm23327	0	0
Gm23328	0	0
Gm23329	0	0
Gm23330	53.7401153701776	2093.74317909337
Gm23331	0	0
Gm23334	0	0
Gm23335	0	0
Gm23336	0	0
Gm23337	0	0
Gm23338	0	0
Gm23339	0	0
Gm23340	0	0
Gm23341	0	0
Gm23343	0	0
Gm23344	302.641702347842	770.746391493337
Gm23345	11.3137084989848	21.920310216783
Gm23346	8.48528137423857	30.4055915910215
Gm23347	1.41421356237309	0
Gm23349	0	0
Gm23350	0	0
Gm23351	0	0
Gm23352	0	0
Gm23353	0	0
Gm23354	0	0
Gm23355	24.0416305603426	26.1629509039023
Gm23356	57.9827560572969	84.8528137423857
Gm23358	0	0
Gm23362	0	0
Gm23363	0	0
Gm23364	0	0
Gm23365	0	0
Gm23366	0	0
Gm23368	0	0
Gm23369	2.82842712474619	1.41421356237309
Gm23374	5.65685424949238	4.24264068711928
Gm23375	0	0
Gm23376	0	0
Gm23377	0	0
Gm23378	0	0
Gm23379	0	0
Gm23382	0	0
Gm23384	0	0
Gm23387	0	0
Gm23388	199.404112294606	86.9741340859453
Gm23389	0	0
Gm23390	0	0
Gm23391	0	0
Gm23393	0	0
Gm23394	0	0
Gm23400	0	0
Gm23402	15.556349186104	26.1629509039023
Gm23403	0	0
Gm23404	0	0
Gm23405	0	0
Gm23406	0	0
Gm23407	1.41421356237309	3.53553390593274
Gm23410	2.82842712474619	7.07106781186547
Gm23411	0	0
Gm23412	15.556349186104	9.89949493661167
Gm23413	0	0
Gm23415	0	0
Gm23416	0	0
Gm23417	0	0
Gm23419	8.48528137423857	4.24264068711928
Gm23421	0	0
Gm23422	0	0
Gm23423	0	0
Gm23424	0	0
Gm23428	0	0
Gm23429	0	0
Gm23431	0	0
Gm23432	0	0
Gm23434	0	0
Gm23435	0	0
Gm23437	0	0
Gm23438	0	0
Gm23439	0	0
Gm23440	0	0
Gm23441	0	0
Gm23442	2.82842712474619	25.4558441227157
Gm23443	0	0
Gm23444	4983.68859380279	10276.3828509841
Gm23445	1.41421356237309	2.82842712474619
