	Exp.hl60.log2FC_120h	Exp.hl60.pval_120h	Exp.kg1.log2FC	Exp.kg1.pval	Exp.molm14.log2FC	Exp.molm14.pval	Exp.ociaml2.log2FC	Exp.ociaml2.pval	Exp.ociaml3.log2FC	Exp.ociaml3.pval	Exp.thp1.log2FC	Exp.thp1.pval	Stbl.hl60.logFC	Stbl.hl60.pval	Stbl.kg1.logFC	Stbl.kg1.pval	Stbl.molm14.logFC	Stbl.molm14.pval	Stbl.ociaml2.logFC	Stbl.ociaml2.pval	Stbl.ociaml3.logFC	Stbl.ociaml3.pval	Stbl.thp1.logFC	Stbl.thp1.pval	TE.Estimate_treatmentDRUG	TE.fdr_Pr...z.._treatmentDRUG	Rho.Mann-Whitney p-value	Rho.rho score	Gamma.Mann-Whitney p-value	Gamma.gamma score
QRICH1	-1.28448381827078	0.00100258065146037	0.0971399697406926	0.665815348284102	0.539161812371753	0.12714544730929303	0.131417326527774	0.64999415658732	-0.830294782421643	0.366718060707836	-0.502206564165633	0.0218283511118864	-0.21942282897310197	0.109178437166108	-0.0859252828577061	0.5075652999906389	0.103904469150309	0.450399676044653	-0.0716436506385303	0.529503051991646	-0.0284353569543278	0.805460796226722	0.00555759877949535	0.9510917902467341	0.19245312630003303	0.7486349548448191	0.122663496746	-0.130756693252	0.735760082864	-0.000491230735936
RCSD1	-1.28004435215379	3.09562351787864e-16	-0.0989724325322542	0.6270604957429351	0.159333316256695	0.33332173445879304	-0.0834301754551461	0.688818951280921	0.356232331625229	0.0449440854853179	-0.115758599261283	0.433257101942071	0.951630943175112	3.0102316073318605e-05	0.19973094766432004	0.14237989805246898	-0.0676124275522217	0.491223104229483	0.0830729225222106	0.45209229231611797	0.501551671784325	0.00146740223216865	0.30372487535730397	0.00642297960490534	-0.9569479367936659	0.38171305100896297	0.295725711238	0.0737768022774	0.772654840769	0.0121173077342
CNOT10	-1.17988083368929	0.00635001453101094	-0.222326724887596	0.361541008866472	-0.13753208238592599	0.635911541273745	0.15176412628082997	0.639869591998248	-0.19665217512000102	0.466911034325165	-0.0628615140958495	0.782680307242733	0.0903347561717126	0.469643582578646	-0.17219059265953998	0.146867951993328	-0.375672335930169	0.0123502860286221	-0.131692355064945	0.17717777309664498	0.0225135349021759	0.869912968892111	0.0535991154426944	0.608313272609648	0.19108761233263102	0.811174169997907	0.0731544332392	-0.0933682987882	0.0127887353891	0.0331108960224
PPP2R5A	-1.1474093831978402	2.7524031570032e-13	-0.0817978812912459	0.707718026466264	0.0344872002876103	0.8456338827552651	-0.159891105933225	0.364913476207208	0.0492843216689421	0.812956497571827	-0.24947902121833898	0.0904136321582578	0.9509467983195551	4.40311912818526e-06	-0.126572465587572	0.503050180827251	0.0606241206559054	0.7006490258936401	-0.21569730141551502	0.140467632802617	-0.157405507953909	0.292902021588865	-0.18115288258232	0.24409989550531	-0.018822721839506	0.990548690714027	0.860485498257	0.0111386800286	0.712532294692	-0.0246848109427
CD53	-1.1389052081913402	2.7161797431076305e-07	-0.0789348835037853	0.610074471176546	0.23463174161755201	0.19177045134585197	0.0829416540211513	0.662237691847792	0.162257030921329	0.39299499834190793	-0.0366785412701947	0.845222064805313	0.248189004656167	0.0436217406369715	0.155949215883495	0.18467681399758498	-0.0549808446886665	0.692728191308046	0.09704508510775801	0.536592664578419	0.0893184116931339	0.555013051410163	-0.18015918459733804	0.17304085015304	-0.153564964891425	0.829025487502009	0.998866302359	-0.00330511149883	0.59185841055	-0.00932829591972
PLEK	-1.09519201819287	4.37840994470996e-18	-0.00286888281483278	0.981959549624367	-1.00784223388586	5.0440465832010106e-11	0.159709148410169	0.27639249848888103	0.0576631827052218	0.7161987763484159	0.204419580265893	0.130872859072846	0.36819191842085897	0.0048604654965292106	-0.0416633254086431	0.609648611537936	-0.337554422557067	0.0573556364786442	0.0948214114079717	0.32283161165831803	0.100187867890556	0.470433954974521	0.254597979139839	0.0167400351393875	0.127981055369292	0.8359880348820029	0.618749849687	-0.0158038065588	0.913975881085	-0.000992978905516
TMEM87B	-1.08133695565962	0.000145496272931394	-0.0302058076235476	0.884285714443092	-0.207309543467166	0.537635517850269	0.284835162077408	0.18825079892602	0.36764383341828993	0.0593097801214791	-0.194252750412715	0.47722331823991604	0.189262929888478	0.17715680599451103	-0.06423129531276	0.643579674057902	-0.0189272141487361	0.846873887147212	-0.16738474440992498	0.14710498360790697	0.0884832758345689	0.563601266671755	-0.0655313034346334	0.5959218809850539	0.11406827500245402	0.9291856976616591	0.294139970712	0.0780826075492	0.865030330751	0.0448723604517
TGFBR2	-1.07025807132168	7.476822769762242e-09	0.22126075921315902	0.193432364209658	0.24371509317038198	0.351022550414171	0.44052080972380897	0.0281582679109837	0.489619970553385	0.00951584930875773	0.30201805831153	0.0597491645540845	0.19746458467588604	0.11723130691875	0.165483888419298	0.11350360979611099	0.0402643723830442	0.69518542947384	0.28803032029959497	0.0104155370781028	0.11328393351264501	0.37587518337879205	-0.0220197801363695	0.8228825216294359	0.442021875263995	0.637180381219344	0.623534825869	0.016378737445	0.372930945124	0.0387811796329
AAK1	-1.0503754675188	9.19603726825381e-05	0.106953247131563	0.45296054955404996	0.363843349453336	0.0769593837578214	0.106721205764235	0.49018648977204504	0.107502697074936	0.555181800662471	0.0882960995059874	0.660234876941775	0.150458549108733	0.5812383594513609	0.123783998715859	0.31346690964622403	0.134614495162977	0.31332214869129305	0.137712833281694	0.236736717487305	0.21445404284595396	0.0767260163326089	0.170507539469231	0.104799446210537	0.027648141892843998	0.9884008937253951	0.403389542718	0.0549906505538	0.159475763435	0.0237684869017
BAZ2B	-1.0464891221885	3.7239512425946497e-08	-0.38451834786972905	0.0590933110000578	-0.189627730105645	0.214628773853225	-0.107414490955022	0.533530637508432	0.0693998998080614	0.7753122008530908	-0.0559706755378503	0.7503167869073771	0.23803919432601703	0.458566564915094	-0.20703102818157199	0.11216254230315101	0.0359432073315373	0.716587360191019	-0.28947141634905393	0.105514223700411	0.327594074317683	0.0381381386670512	-0.0142296472510103	0.865319100906492	0.44087304052056603	0.6647092716141421	0.75301443756	-0.0223686124799	0.43857742408	-0.0167075878633
