enteric_50uM_OXL_1	enteric_50uM_OXL_2	sensory_50uM_OXL_
AGAP2-AS1	20	19	14
AGAP3	1317	336	398
AGAP4	3	1	0
AGAP5	7	0	5
AGAP6	26	0	0
AGAP7P	1	0	8
AGAP9	19	0	9
AGBL1	8	0	0
AGBL1-AS1	0	0	0
AGBL2	9	0	12
AGBL3	5	0	5
AGBL4	0	0	0
AGBL4-IT1	0	0	5
AGBL5	809	838	217
AGBL5-AS1	1	0	0
AGER	27	1	13
AGFG1	233	101	134
AGFG2	23	0	34
AGGF1	224	220	62
AGK	54	1	54
AGL	96	74	49
AGMAT	27	0	5
AGMO	0	0	0
AGO1	152	116	57
AGO2	164	130	105
AGO3	38	61	28
AGO4	150	114	43
AGPAT1	580	250	223
AGPAT2	170	259	89
AGPAT3	264	111	158
AGPAT4	385	86	99
AGPAT4-IT1	19	0	16
AGPAT5	552	224	90
AGPS	62	26	78
AGR2	6	2	3
AGR3	0	0	0
AGRN	1062	1183	480
AGRP	0	0	0
AGT	12	1	6
AGTPBP1	183	112	60
AGTR1	0	0	0
AGTR2	0	0	0
AGTRAP	61	2	13
AGXT	0	0	0
AGXT2	0	0	18
AHCTF1	161	79	31
AHCTF1P1	6	1	0
AHCY	398	199	47
AHCYL1	1051	602	206
AHCYL2	24	0	15
AHDC1	198	257	146
AHI1	224	69	87
AHNAK	468	1745	535
AHNAK2	363	209	233
AHR	126	283	51
AHRR	22	1	0
AHSA1	567	218	199
AHSA2	98	126	73
AHSG	0	0	0
AHSP	0	0	0
AICDA	3	1	102
AIDA	17	0	6
AIF1	7	1	29
AIF1L	105	12	26
AIFM1	162	72	41
AIFM2	21	1	14
AIFM3	1	0	4
AIG1	37	10	23
AIM1	3	1	16
AIM1L	0	0	6
AIM2	12	0	0
AIMP1	223	84	44
AIMP2	304	268	57
AIP	92	121	53
AIPL1	2	0	29
AIRE	0	0	7
AIRN	0	0	0
AJAP1	48	1	18
AJUBA	45	237	26
AK1	184	95	97
AK2	294	301	101
AK3	273	70	144
AK4	107	92	14
AK5	42	0	8
AK6	64	152	21
AK7	0	0	12
AK8	0	0	0
AK9	77	0	17
AKAP1	152	71	30
AKAP10	78	88	46
AKAP11	303	45	95
AKAP12	2765	3174	923
AKAP13	447	169	373
AKAP14	16	0	3
AKAP17A	526	148	132
AKAP2	894	1285	343
AKAP3	0	0	0
AKAP4	0	0	0
AKAP5	43	0	5
AKAP6	128	0	23
AKAP7	28	34	52
AKAP8	434	245	186
AKAP8L	584	130	128
AKAP9	2351	713	684
AKIP1	207	185	60
AKIRIN1	434	229	97
AKIRIN2	257	58	59
AKNA	66	0	41
AKNAD1	17	0	0
AKR1A1	599	107	83
AKR1B1	330	354	98
AKR1B10	5	0	10
AKR1B15	0	0	0
AKR1C1	70	0	14
AKR1C2	212	0	4
AKR1C3	3	1	0
AKR1C4	0	0	0
AKR1C6P	0	0	0
AKR1C8P	1	0	0
AKR1D1	0	0	0
AKR1E2	0	0	0
AKR7A2	385	118	189
AKR7A2P1	0	0	0
AKR7A3	5	0	2
AKR7L	16	0	8
AKT1	43	48	41
AKT1S1	324	323	136
AKT2	636	640	434
AKT3	443	297	192
AKTIP	42	18	14
ALAD	31	109	10
ALAS1	71	156	33
ALAS2	5	0	0
ALB	10	3	29
ALCAM	1026	2649	982
ALDH16A1	34	11	68
ALDH18A1	113	247	31
ALDH1A1	0	0	25
ALDH1A2	4	7	1
ALDH1A3	26	0	17
ALDH1B1	87	73	7
ALDH1L1	1	0	0
ALDH1L1-AS1	1	0	0
ALDH1L1-AS2	0	0	0
ALDH1L2	189	36	73
ALDH2	87	131	40
ALDH3A1	5	0	10
ALDH3A2	86	61	56
ALDH3B1	2	0	9
ALDH3B2	0	0	0
ALDH4A1	77	1	84
ALDH5A1	183	218	60
ALDH6A1	63	0	47
ALDH7A1	371	473	202
ALDH8A1	18	0	17
ALDH9A1	121	28	84
ALDOA	3992	2379	931
ALDOB	2	1	2
ALDOC	112	1	7
ALG1	45	10	64
ALG10	28	0	85
ALG10B	82	134	43
ALG11	544	79	226
ALG12	38	78	9
ALG13	138	144	55
ALG14	33	57	21
ALG1L	0	0	0
ALG1L2	0	0	0
ALG1L9P	5	0	12
ALG2	84	31	20
ALG3	87	37	18
ALG5	209	150	64
ALG6	54	7	42
ALG8	62	146	21
ALG9	181	246	50
ALK	12	0	0
ALKBH1	16	0	8
ALKBH2	64	59	30
ALKBH3	130	263	41
ALKBH3-AS1	0	0	0
ALKBH4	60	11	1
ALKBH5	247	147	124
ALKBH6	31	47	9
ALKBH7	372	82	99
ALKBH8	76	58	15
ALLC	1	0	0
ALMS1	249	119	56
ALMS1-IT1	39	1	39
ALMS1P	1	0	17
ALOX12	0	0	0
ALOX12-AS1	4	0	14
ALOX12B	0	0	0
ALOX12P2	0	0	3
ALOX15	0	0	0
ALOX15B	0	0	22
ALOX15P1	0	0	0
ALOX5	6	0	8
ALOX5AP	2	0	0
ALOXE3	9	0	0
ALPI	0	0	0
ALPK1	24	0	36
ALPK2	77	286	17
ALPK3	20	6	10
ALPL	32	59	36
ALPP	4	0	0
ALPPL2	0	0	1
ALS2	130	129	95
ALS2CL	6	0	8
ALS2CR11	11	0	0
ALS2CR12	6	0	0
ALX1	45	87	2
ALX3	2	0	0
ALX4	28	2	37
ALYREF	614	518	317
AMACR	38	44	7
AMBN	0	0	0
AMBP	0	1	8
AMBRA1	135	69	90
AMD1	441	193	108
AMDHD1	3	0	14
AMDHD2	58	138	17
AMELX	0	0	1
AMELY	0	0	0
AMER1	169	0	12
AMER2	181	0	22
AMER3	147	0	31
AMFR	58	104	33
AMH	101	0	24
AMHR2	3	0	0
AMICA1	0	0	0
AMIGO1	7	0	6
AMIGO2	25	139	28
AMIGO3	68	0	13
AMMECR1	59	34	33
AMMECR1L	210	75	68
AMN	7	0	0
AMN1	69	0	19
AMOT	147	106	184
AMOTL1	572	494	246
AMOTL2	150	760	26
AMPD1	3	0	0
AMPD2	215	32	66
AMPD3	11	0	1
AMPH	99	1	35
AMT	38	34	25
AMTN	0	0	0
AMY1A	0	0	0
AMY1B	0	0	0
AMY1C	0	0	0
AMY2A	0	0	0
AMY2B	4	25	0
AMZ1	12	56	56
AMZ2	251	269	34
AMZ2P1	85	89	49
ANAPC1	28	33	24
ANAPC10	54	43	20
ANAPC11	859	509	318
ANAPC13	513	217	163
