enteric_50uM_OXL_1	enteric_water_1	enteric_50uM_OXL_2	enteric_water_2
MIR5690	0	0	0	0
MIR5691	0	0	0	0
MIR5692A1	0	0	0	0
MIR5692A2	0	0	0	0
MIR5692B	0	0	0	0
MIR5692C1	0	0	0	0
MIR5692C2	0	0	0	0
MIR5693	0	0	0	0
MIR5694	0	0	0	0
MIR5695	1	0	0	0
MIR5696	0	0	0	0
MIR5697	0	0	0	0
MIR5698	0	0	0	0
MIR5699	0	0	0	0
MIR570	0	0	0	0
MIR5700	0	0	0	0
MIR5701-1	0	0	0	0
MIR5701-2	0	0	0	0
MIR5701-3	0	0	0	0
MIR5702	0	0	0	0
MIR5703	0	0	0	0
MIR5704	0	0	0	0
MIR5705	0	0	0	0
MIR5706	0	0	0	0
MIR5707	0	0	0	0
MIR5708	0	0	0	0
MIR571	0	0	0	0
MIR572	0	0	0	0
MIR573	0	0	0	0
MIR5739	6	0	0	0
MIR574	6	0	0	0
MIR575	0	0	0	0
MIR576	0	0	0	0
MIR577	0	0	0	0
MIR578	0	0	0	0
MIR5787	0	0	0	0
MIR579	0	0	0	0
MIR580	0	0	0	0
MIR581	0	0	0	0
MIR582	0	0	0	0
MIR583	0	0	0	0
MIR584	0	0	0	0
MIR585	0	0	0	0
MIR586	0	0	0	0
MIR587	0	0	0	0
MIR588	0	0	0	0
MIR589	0	0	0	0
MIR590	0	0	0	0
MIR591	0	0	0	0
MIR592	0	0	0	0
MIR593	0	0	0	0
MIR595	0	0	0	0
MIR596	0	0	0	0
MIR597	0	0	0	0
MIR598	0	0	0	0
MIR599	0	0	0	0
MIR600	0	0	0	0
MIR600HG	19	8	0	3
MIR601	0	0	0	0
MIR602	0	0	0	0
MIR603	0	0	0	0
MIR604	0	0	0	0
MIR605	0	0	0	0
MIR606	0	0	0	0
MIR6068	0	0	0	0
MIR6069	0	0	0	0
MIR607	0	0	0	0
MIR6070	0	0	0	0
MIR6071	0	0	0	0
MIR6072	0	0	0	0
MIR6073	0	0	0	0
MIR6074	0	0	0	0
MIR6075	0	0	0	0
MIR6076	0	0	0	0
MIR6077	0	0	0	0
MIR6078	0	0	0	0
MIR6079	0	0	0	0
MIR608	0	0	0	0
MIR6080	0	0	0	0
MIR6081	0	0	0	0
MIR6082	0	0	0	0
MIR6083	0	0	0	0
MIR6084	0	0	0	0
MIR6085	0	0	0	0
MIR6086	0	0	0	0
MIR6087	0	0	0	0
MIR6088	0	0	0	0
MIR6089	0	0	0	0
MIR609	0	0	0	0
MIR6090	0	0	0	0
MIR610	0	0	0	0
MIR611	40	0	43	0
MIR612	0	0	0	0
MIR6124	0	0	0	0
MIR6125	7	20	0	0
MIR6126	0	0	0	0
MIR6127	0	0	0	0
MIR6128	0	0	0	0
MIR6129	0	0	0	0
MIR613	0	0	0	0
MIR6130	0	0	0	0
MIR6131	0	0	0	0
MIR6132	0	0	0	0
MIR6133	0	0	0	0
MIR6134	0	0	0	0
MIR614	0	0	0	0
MIR615	0	0	0	0
MIR616	0	4	0	0
MIR6165	0	0	0	0
MIR617	0	0	0	0
MIR618	0	0	0	0
MIR619	0	0	0	0
MIR620	0	0	0	0
MIR621	0	0	0	0
MIR622	0	0	0	0
MIR623	0	0	0	0
MIR624	0	0	0	0
MIR625	0	0	0	0
MIR626	0	0	0	0
MIR627	0	0	0	0
MIR628	0	0	0	0
MIR629	0	0	0	0
MIR630	0	0	0	0
MIR631	0	0	0	0
MIR632	0	2	0	0
MIR633	0	0	0	0
MIR634	0	0	0	0
MIR635	0	0	0	0
MIR636	0	0	0	0
MIR637	0	0	0	0
MIR638	0	0	0	0
MIR639	0	0	0	6
MIR640	0	0	0	0
MIR641	0	0	0	0
MIR642A	0	0	0	0
MIR642B	0	0	0	0
MIR643	0	0	0	0
MIR644A	0	0	0	0
MIR645	0	0	0	0
MIR646	0	0	0	0
MIR646HG	6	0	0	1
MIR647	0	0	0	0
MIR648	0	0	0	0
MIR649	1	0	0	0
MIR6499	1	2	0	0
MIR650	0	0	0	0
MIR6500	0	0	0	0
MIR6501	0	0	0	0
MIR6502	0	0	0	0
MIR6503	0	0	0	0
MIR6504	0	0	0	0
MIR6505	0	0	0	0
MIR6506	0	0	0	0
MIR6507	0	0	0	0
MIR6508	0	0	0	0
MIR6509	0	0	0	0
MIR651	0	0	0	0
MIR6510	0	0	0	0
MIR6511A1	0	0	0	0
MIR6511A2	0	0	0	0
MIR6511A3	0	0	0	0
MIR6511A4	0	0	0	0
MIR6511B1	0	0	0	0
MIR6511B2	0	0	0	0
MIR6512	0	0	0	0
MIR6513	0	0	0	0
MIR6514	0	0	0	0
MIR6515	0	0	0	0
MIR6516	16	18	0	6
MIR652	0	0	0	0
MIR653	0	0	0	0
MIR654	0	0	0	0
MIR655	0	0	0	0
MIR656	0	0	0	0
MIR657	0	0	0	0
MIR658	0	0	0	0
MIR659	0	0	0	0
MIR660	0	0	0	0
MIR661	0	0	0	0
MIR662	0	0	0	0
MIR663A	0	0	0	0
MIR663AHG	0	0	0	0
MIR663B	2	0	0	0
MIR664A	0	0	0	0
MIR664B	1	0	0	4
MIR665	0	0	0	0
MIR668	0	0	0	0
MIR670	0	0	0	0
MIR670HG	0	0	0	0
MIR671	1	2	4	0
MIR6715A	0	0	0	0
MIR6715B	0	0	0	0
MIR6716	0	0	0	0
MIR6717	0	0	0	0
MIR6718	0	0	0	0
MIR6719	0	0	0	0
MIR6720	0	0	0	0
MIR6721	0	0	0	0
MIR6722	0	0	0	0
MIR6723	1	0	0	0
MIR6724-1	0	0	0	0
MIR6724-2	0	0	0	0
MIR6724-3	0	0	0	0
MIR6724-4	0	0	0	0
MIR6726	0	0	0	0
MIR6727	0	0	0	0
MIR6728	1	0	0	0
MIR6729	0	0	0	0
MIR6730	0	0	0	0
MIR6731	0	0	0	0
MIR6732	0	0	0	0
MIR6733	0	0	0	0
MIR6734	0	0	0	0
MIR6735	0	0	0	0
MIR6736	0	0	0	0
MIR6737	0	0	0	0
MIR6738	0	0	0	0
MIR6739	0	0	0	0
MIR6740	0	0	0	0
MIR6741	0	0	0	0
MIR6742	0	0	0	0
MIR6743	0	0	0	0
MIR6744	0	0	0	0
MIR6745	0	0	0	0
MIR6746	0	0	0	0
MIR6747	2	6	0	3
MIR6748	0	0	0	0
MIR6749	0	0	0	0
MIR675	0	0	0	0
MIR6750	0	0	0	0
MIR6751	0	0	0	0
MIR6752	0	0	0	0
MIR6753	0	0	0	0
MIR6754	0	0	0	0
MIR6755	0	0	0	0
MIR6756	0	0	0	0
MIR6757	0	0	0	0
MIR6758	0	0	0	0
MIR6759	0	0	0	0
MIR676	0	0	0	0
MIR6760	0	0	0	0
MIR6761	0	0	0	0
MIR6762	0	0	0	0
MIR6763	0	0	0	0
MIR6764	0	0	0	0
MIR6765	0	0	0	0
MIR6766	0	0	0	0
MIR6767	0	0	0	0
MIR6768	0	0	0	0
MIR6769A	0	0	0	0
MIR6769B	0	0	0	0
MIR6770-1	0	0	0	0
MIR6770-2	0	0	0	0
MIR6770-3	0	0	0	0
MIR6771	0	0	0	0
MIR6772	0	0	0	0
MIR6773	0	0	0	0
MIR6774	0	0	0	0
MIR6775	0	0	0	0
MIR6776	0	0	0	0
MIR6777	0	0	0	0
MIR6778	0	0	0	0
MIR6779	0	0	0	0
MIR6780A	0	0	0	0
MIR6780B	0	0	0	0
MIR6781	0	0	0	0
MIR6782	0	0	0	0
MIR6783	0	0	0	0
MIR6784	0	0	0	0
MIR6785	0	0	0	0
MIR6786	0	0	0	0
MIR6787	0	0	0	0
MIR6788	0	0	0	0
MIR6789	0	0	0	0
MIR6790	7	0	0	0
MIR6791	0	0	0	0
MIR6792	0	0	0	0
MIR6793	0	0	0	0
MIR6794	0	0	0	0
MIR6795	0	0	0	0
MIR6796	0	0	0	0
MIR6797	1232	386	313	127
MIR6798	0	0	0	0
MIR6799	0	0	0	0
MIR6800	0	0	0	0
MIR6801	0	0	0	0
MIR6802	0	0	0	0
MIR6803	0	0	0	0
MIR6804	0	0	0	0
MIR6805	27	15	0	6
MIR6806	0	0	0	0
MIR6807	1	0	0	0
MIR6808	0	0	0	0
MIR6809	0	0	0	0
MIR6810	0	0	0	0
MIR6811	0	0	0	0
MIR6812	0	0	0	0
MIR6813	0	0	0	0
MIR6814	0	0	0	0
MIR6815	0	0	0	0
MIR6816	0	0	0	0
MIR6817	0	0	0	0
MIR6818	0	0	0	0
MIR6819	0	0	0	0
MIR6820	0	0	0	0
MIR6821	0	0	0	0
MIR6822	0	0	0	0
MIR6823	0	0	0	0
MIR6824	0	0	0	0
MIR6825	0	0	0	0
MIR6826	0	0	0	0
MIR6827	0	0	0	0
MIR6828	0	0	0	0
MIR6829	0	0	0	0
MIR6830	0	0	0	0
MIR6831	0	0	0	0
MIR6832	0	0	0	0
MIR6833	0	0	0	0
MIR6834	0	0	0	0
MIR6835	0	0	0	0
MIR6836	0	0	0	0
MIR6837	0	0	0	0
MIR6838	0	0	0	0
MIR6839	0	0	0	0
MIR6840	0	0	0	0
MIR6841	0	0	0	0
MIR6842	0	0	0	0
MIR6843	6	2	0	0
MIR6844	1	0	0	0
MIR6845	0	0	0	0
MIR6846	0	0	0	0
MIR6847	0	0	0	0
MIR6848	0	0	0	0
MIR6849	0	0	0	0
MIR6850	0	0	0	0
MIR6851	0	0	0	0
MIR6852	0	0	0	0
MIR6853	0	0	0	0
MIR6854	0	0	0	0
MIR6855	0	0	0	0
MIR6856	0	0	0	0
MIR6857	0	0	0	0
MIR6858	0	0	0	0
MIR6859-1	0	0	0	0
MIR6859-2	0	0	0	0
MIR6859-3	0	0	0	0
MIR6859-4	0	0	0	0
MIR6860	0	0	0	0
MIR6861	0	0	0	0
MIR6862-1	0	0	0	0
MIR6862-2	0	0	0	0
MIR6863	0	0	0	0
MIR6864	0	0	0	0
MIR6865	0	0	0	0
MIR6866	1	2	0	4
MIR6867	0	0	0	0
MIR6868	0	0	0	0
MIR6869	0	0	0	0
MIR6870	0	0	0	0
MIR6871	0	0	0	0
MIR6872	0	0	0	0
MIR6873	0	0	0	0
MIR6874	0	0	0	0
MIR6875	0	0	0	0
MIR6876	0	0	0	0
MIR6877	0	0	0	0
MIR6878	0	0	0	0
MIR6879	0	0	0	0
MIR6880	0	0	0	0
MIR6881	0	0	0	0
MIR6882	0	0	0	0
MIR6883	0	0	0	0
MIR6884	0	0	0	0
MIR6885	0	0	0	0
MIR6886	0	0	0	0
MIR6887	0	0	0	0
MIR6888	0	0	0	0
MIR6889	0	0	0	0
MIR6890	0	0	0	0
MIR6891	0	0	0	0
MIR6892	0	0	0	0
MIR6893	0	0	0	0
MIR6894	0	0	0	0
MIR6895	0	0	0	0
MIR7-1	0	0	0	0
MIR7-2	0	0	0	0
MIR7-3	0	0	0	0
MIR7-3HG	17	3	0	0
MIR708	0	0	0	0
MIR7106	0	0	0	0
MIR7107	0	0	0	0
MIR7108	0	0	0	0
MIR7109	0	0	0	0
MIR711	0	0	0	0
MIR7110	0	0	0	0
MIR7111	0	0	0	0
MIR7112	0	0	0	0
MIR7113	0	0	0	0
MIR7114	0	0	0	0
MIR7150	0	0	0	0
MIR7151	0	0	0	0
MIR7152	0	0	0	0
MIR7153	0	0	0	0
MIR7154	0	0	0	0
MIR7155	0	0	0	0
MIR7156	0	0	0	0
MIR7157	0	0	0	0
MIR7158	0	0	0	0
MIR7159	0	0	0	0
MIR7160	0	0	0	0
MIR7161	0	0	0	0
MIR7162	0	0	0	0
MIR718	0	0	0	0
MIR744	0	1	0	0
MIR7515	0	0	0	0
MIR7515HG	0	0	0	0
MIR758	0	0	0	0
MIR759	0	0	0	0
MIR760	0	0	0	0
MIR761	0	0	0	0
MIR762	1	0	0	0
MIR762HG	54	18	71	4
MIR764	0	0	0	0
MIR7641-1	0	0	0	0
MIR7641-2	19	2	29	0
MIR765	0	0	0	0
MIR766	0	0	0	0
MIR767	0	0	0	0
MIR769	0	0	0	0
MIR770	0	0	0	0
MIR7702	0	0	0	0
MIR7703	20	11	24	4
MIR7704	0	0	0	0
MIR7705	70	21	70	22
MIR7706	0	0	0	0
MIR7843	2	0	0	1
MIR7844	0	0	0	0
MIR7845	0	0	0	0
MIR7846	0	0	0	0
MIR7847	0	0	0	0
MIR7848	0	0	0	0
MIR7849	0	0	0	0
MIR7850	0	0	0	0
MIR7851	17	6	0	0
MIR7852	0	0	0	0
MIR7853	0	0	0	0
MIR7854	0	0	0	0
MIR7855	0	0	0	0
MIR7856	0	0	0	0
MIR7973-1	0	0	0	0
MIR7973-2	0	0	0	0
MIR7974	0	0	0	0
MIR7975	0	0	0	0
MIR7976	0	0	0	0
MIR7977	0	0	0	0
MIR7978	0	0	0	5
MIR802	0	0	0	0
MIR8052	0	0	0	0
MIR8053	4	0	0	0
MIR8054	0	0	0	0
MIR8055	0	0	0	0
MIR8056	0	0	0	0
MIR8057	0	0	0	0
MIR8058	0	0	0	0
MIR8059	0	0	0	0
MIR8060	0	0	0	0
MIR8061	0	0	0	0
MIR8062	0	0	0	0
MIR8063	48	14	1	0
MIR8064	0	0	0	0
MIR8065	0	0	0	0
MIR8066	0	0	0	0
MIR8067	0	0	0	0
MIR8068	0	0	0	0
MIR8069-1	0	0	0	0
MIR8069-2	0	0	0	0
MIR8070	0	0	0	0
MIR8071-1	0	0	0	0
MIR8071-2	0	0	0	0
MIR8072	2	0	0	0
MIR8073	0	0	0	0
MIR8074	0	0	0	0
MIR8075	0	0	0	0
MIR8076	0	0	0	0
MIR8077	0	0	0	0
MIR8078	0	0	0	0
MIR8079	0	0	0	0
MIR8080	0	0	0	0
MIR8081	0	0	0	0
MIR8082	0	0	0	0
MIR8083	0	0	0	0
MIR8084	0	0	0	0
MIR8085	0	0	0	0
MIR8086	0	0	0	0
MIR8087	0	0	0	0
MIR8088	0	0	0	0
MIR8089	0	0	0	0
MIR8485	0	0	0	0
MIR873	0	0	0	0
MIR874	0	0	0	0
MIR875	0	0	0	0
MIR876	0	0	0	0
MIR877	0	0	0	0
MIR885	0	0	0	0
MIR887	0	0	0	0
MIR888	0	0	0	0
MIR889	0	0	0	0
MIR890	0	0	0	0
MIR891A	0	0	0	0
MIR891B	0	0	0	0
MIR892A	0	0	0	0
MIR892B	0	0	0	0
MIR892C	0	0	0	0
MIR9-1	0	0	0	0
MIR9-2	0	0	0	0
MIR9-3	0	0	0	0
MIR920	0	0	0	0
MIR921	0	0	0	0
MIR922	0	0	0	0
MIR924	0	0	0	0
MIR92A1	3	0	0	0
MIR92A2	0	0	0	0
MIR92B	0	0	0	0
MIR93	0	0	0	0
MIR933	0	0	0	0
MIR934	0	0	0	0
MIR935	0	0	0	0
MIR936	0	0	0	0
MIR937	0	0	0	0
MIR938	0	0	0	0
MIR939	0	0	0	0
MIR940	0	0	0	0
MIR941-1	0	0	0	0
MIR941-2	0	0	0	0
MIR941-3	0	0	0	0
MIR941-4	0	0	0	0
MIR941-5	0	0	0	0
MIR942	0	0	0	0
MIR943	0	0	0	0
MIR944	0	0	0	0
MIR95	0	0	0	0
MIR9500	0	0	0	0
MIR96	0	0	0	0
MIR98	5	3	0	0
MIR99A	0	0	0	0
MIR99AHG	161	103	92	42
MIR99B	0	0	0	0
MIRLET7A1	0	0	0	0
MIRLET7A2	0	0	0	0
MIRLET7A3	0	0	0	0
MIRLET7B	0	0	0	0
MIRLET7BHG	10	0	0	3
MIRLET7C	0	0	0	0
MIRLET7D	0	0	0	0
MIRLET7DHG	49	29	69	14
MIRLET7E	0	0	0	0
MIRLET7F1	0	0	0	0
MIRLET7F2	0	0	0	0
MIRLET7G	0	0	0	0
MIRLET7I	0	0	0	0
MIS12	124	55	76	38
MIS18A	49	47	63	25
MIS18BP1	42	27	30	75
MISP	9	0	0	0
MITD1	139	30	28	8
MITF	9	0	1	14
MIXL1	6	0	0	5
MKI67	158	119	4	245
MKKS	100	28	147	51
MKL1	211	79	132	52
MKL2	175	46	170	59
MKLN1	640	437	335	105
MKLN1-AS	4	2	0	2
MKNK1	41	4	7	16
MKNK1-AS1	0	0	0	0
MKNK2	349	160	31	79
MKRN1	157	77	3	46
MKRN2	135	43	142	30
MKRN2OS	1	0	0	0
MKRN3	13	15	0	0
MKRN7P	3	1	0	0
MKRN9P	1	1	0	0
MKS1	54	19	1	11
MKX	12	15	0	2
MKX-AS1	0	0	0	0
MLANA	0	1	0	0
MLC1	15	8	0	6
MLEC	1157	693	244	396
MLF1	110	75	308	41
MLF2	593	262	430	136
MLH1	101	33	67	35
MLH3	220	122	155	102
MLIP	18	1	0	20
MLIP-IT1	0	0	0	0
MLK7-AS1	60	38	258	6
MLKL	3	0	0	0
MLLT1	231	167	110	64
MLLT10	166	112	61	90
MLLT10P1	0	0	0	0
MLLT11	2035	691	481	681
MLLT3	108	56	25	85
MLLT4	876	530	258	203
MLLT4-AS1	84	2	0	2
MLLT6	110	61	143	17
MLN	0	0	0	0
MLNR	0	0	0	0
MLPH	9	0	1	0
MLST8	386	209	191	68
MLX	160	49	49	35
MLXIP	167	75	99	52
MLXIPL	8	15	0	0
MLYCD	33	9	36	15
MMAA	39	13	46	14
MMAB	133	97	77	47
MMACHC	223	74	189	105
MMADHC	497	203	725	81
MMD	149	88	115	76
MMD2	0	1	0	0
MME	270	39	259	60
MMEL1	0	0	0	0
MMGT1	311	116	84	121
MMP1	29	0	115	1
MMP10	17	5	24	7
MMP11	27	0	0	6
MMP12	3	0	0	0
MMP13	0	0	0	3
MMP14	840	233	85	182
MMP15	102	76	1	86
MMP16	698	284	804	405
MMP17	45	11	1	14
MMP19	59	11	127	27
MMP2	275	35	250	103
MMP20	7	5	0	4
MMP21	0	7	0	0
MMP23A	0	0	0	0
MMP23B	0	0	0	0
MMP24	144	85	60	47
MMP24-AS1	266	158	93	57
MMP25	9	0	0	1
MMP25-AS1	5	3	2	0
MMP26	0	0	0	0
MMP27	0	0	0	0
MMP28	3	0	68	7
MMP3	30	1	0	0
MMP7	1	0	0	0
MMP8	0	4	0	7
MMP9	99	2	38	11
MMRN1	0	0	0	1
MMRN2	1	0	0	0
MMS19	730	406	568	148
MMS22L	18	10	0	6
MN1	150	50	316	61
MNAT1	202	88	153	30
MND1	23	17	1	16
MNDA	0	0	0	0
MNS1	112	17	8	51
MNT	92	87	2	83
MNX1	2	0	1	0
MNX1-AS1	5	0	0	1
MOAP1	109	31	75	53
MOB1A	28	4	24	10
MOB1B	133	84	22	25
MOB2	39	16	33	18
MOB3A	46	26	149	6
MOB3B	77	9	0	12
MOB3C	8	0	0	3
MOB4	293	124	137	43
MOBP	1	3	0	6
MOCOS	3	0	1	0
MOCS1	25	1	123	11
MOCS2	129	44	80	56
MOCS3	13	3	23	0
MOG	0	3	0	0
MOGAT1	3	0	0	0
MOGAT2	0	0	0	0
MOGAT3	16	1	0	0
MOGS	52	21	68	9
MOK	68	37	131	37
MON1A	193	54	1	65
MON1B	40	16	29	14
MON2	231	72	122	32
MORC1	2	0	0	0
MORC2	106	27	187	5
MORC2-AS1	84	15	39	35
MORC3	320	190	116	89
MORC4	365	74	138	28
MORF4L1	482	188	464	103
MORF4L2	1397	682	2057	358
MORF4L2-AS1	21	13	0	1
MORN1	4	2	0	0
MORN2	49	20	84	26
MORN3	0	2	0	4
MORN4	137	60	0	35
MORN5	0	0	0	0
MOS	0	0	0	0
MOSPD1	131	27	63	1
MOSPD2	55	20	58	31
MOSPD3	33	5	31	16
MOV10	140	81	248	69
MOV10L1	11	0	0	0
MOXD1	32	11	0	24
MOXD2P	0	0	0	0
MPC1	243	153	180	81
MPC1L	9	1	0	0
MPC2	138	35	92	47
MPDU1	264	110	112	109
MPDZ	205	113	96	101
MPEG1	1	4	58	1
MPG	108	22	137	42
MPHOSPH10	285	127	280	72
MPHOSPH6	820	329	446	161
MPHOSPH8	730	192	268	326
MPHOSPH9	93	39	49	58
MPI	231	130	39	73
MPL	23	13	0	0
MPLKIP	73	11	216	21
MPND	179	64	31	19
MPO	0	0	0	0
MPP1	30	25	1	11
MPP2	116	62	2	40
MPP3	52	28	0	28
MPP4	0	0	0	0
MPP5	196	68	196	51
MPP6	395	153	145	199
MPP7	10	0	75	3
MPPE1	76	11	0	14
MPPED1	2	0	0	0
MPPED2	118	38	31	78
MPRIP	395	131	285	93
MPST	141	76	131	60
MPV17	71	10	202	41
MPV17L	13	0	0	5
MPV17L2	14	3	0	4
MPZ	18	16	5	167
MPZL1	296	96	449	100
MPZL2	4	0	16	13
MPZL3	5	0	0	0
MR1	1	0	0	0
MRAP	1	0	0	0
MRAP2	5	5	95	6
MRAS	233	26	77	48
MRC1	3	2	5	0
MRC2	533	137	315	90
MRE11A	84	38	72	19
MREG	14	2	0	5
MRFAP1	1254	338	1025	192
MRFAP1L1	1040	543	393	400
MRGBP	225	88	123	57
MRGPRD	0	0	0	0
MRGPRE	0	0	0	0
MRGPRF	0	0	0	0
MRGPRF-AS1	1	0	0	0
MRGPRG	0	0	0	0
MRGPRG-AS1	0	0	0	0
MRGPRX1	0	0	0	0
MRGPRX2	0	0	0	0
MRGPRX3	0	0	0	0
MRGPRX4	0	0	0	0
MRI1	59	19	1	27
MRLN	3	0	0	4
MRM1	51	12	41	0
MRO	2	0	0	0
MROH1	11	12	37	9
MROH2A	0	0	0	0
MROH2B	0	0	0	0
MROH5	0	0	0	0
MROH6	7	5	0	0
MROH7	0	0	0	0
MROH7-TTC4	307	135	73	100
MROH8	2	0	0	0
MROH9	0	0	0	0
MRPL1	266	98	218	110
MRPL10	117	66	51	42
MRPL11	305	87	271	65
MRPL12	504	181	412	77
MRPL13	107	2	77	15
MRPL14	180	48	234	47
MRPL15	356	83	196	77
MRPL16	82	39	48	19
MRPL17	233	35	40	54
MRPL18	141	51	145	63
MRPL19	162	85	56	62
MRPL2	114	37	214	19
MRPL20	581	106	492	161
MRPL21	256	69	27	61
MRPL22	112	32	83	12
MRPL23	0	0	0	0
MRPL23-AS1	0	0	0	0
MRPL24	324	128	291	102
MRPL27	759	215	440	121
MRPL28	432	119	296	135
MRPL3	255	74	123	102
MRPL30	369	262	101	122
MRPL32	57	7	161	7
MRPL33	449	168	154	86
MRPL34	41	1	0	7
MRPL35	124	33	52	58
MRPL36	26	1	49	7
MRPL37	457	146	433	88
MRPL38	905	302	42	100
MRPL39	21	5	14	0
MRPL4	234	141	205	62
MRPL40	194	52	36	49
MRPL41	1967	451	688	428
MRPL42	103	15	246	17
MRPL42P5	32	10	0	8
MRPL43	293	159	254	128
MRPL44	106	43	37	27
MRPL45	90	20	159	12
MRPL45P2	27	13	0	5
MRPL46	156	71	313	29
MRPL47	303	72	259	63
MRPL48	107	44	60	41
MRPL49	196	29	99	23
MRPL50	104	23	86	24
MRPL51	702	227	613	221
MRPL52	398	124	80	50
MRPL53	316	172	269	110
MRPL54	135	103	102	55
MRPL55	858	375	228	174
MRPL57	441	113	255	84
MRPL9	155	40	279	44
MRPS10	340	81	191	128
MRPS11	200	37	1	48
MRPS12	487	139	168	110
MRPS14	106	28	59	36
MRPS15	239	45	174	53
MRPS16	375	124	232	125
MRPS17	239	63	67	62
MRPS18A	508	145	147	115
MRPS18B	1178	586	564	229
MRPS18C	240	85	244	69
MRPS2	506	216	174	90
MRPS21	629	308	546	197
MRPS22	76	9	125	5
MRPS23	83	36	220	28
MRPS24	767	389	566	224
MRPS25	549	193	277	106
MRPS26	509	293	152	107
MRPS27	303	135	118	76
MRPS28	12	2	2	8
MRPS30	103	39	132	4
MRPS31	225	78	201	104
MRPS31P5	73	42	84	28
MRPS33	238	104	231	73
MRPS34	155	62	26	43
MRPS35	175	74	185	61
MRPS36	66	13	59	26
MRPS5	567	323	141	122
MRPS6	291	196	606	140
MRPS7	652	168	249	179
MRPS9	219	33	77	22
MRRF	38	41	78	34
MRS2	43	11	27	22
MRS2P2	53	19	1	15
MRTO4	491	143	240	68
MRVI1	10	9	1	0
MRVI1-AS1	0	0	0	0
MS4A1	1	6	0	1
MS4A10	0	0	0	0
MS4A12	0	0	54	0
MS4A13	0	0	0	0
MS4A14	0	0	0	0
MS4A15	0	0	0	0
MS4A18	0	0	0	0
MS4A2	12	5	0	0
MS4A3	0	0	0	0
MS4A4A	0	0	0	0
MS4A5	0	0	0	0
MS4A6A	2	0	0	0
MS4A6E	0	0	0	0
MS4A7	9	0	0	0
MS4A8	0	0	0	0
MSANTD1	10	0	0	0
MSANTD2	143	30	72	49
MSANTD3	200	67	60	17
MSANTD3-TMEFF1	147	57	3	25
MSANTD4	275	108	132	59
MSC	3	0	6	0
MSC-AS1	5	0	0	0
MSGN1	0	0	0	0
MSH2	238	72	40	74
MSH3	139	106	3	70
MSH4	3	0	0	7
MSH5	3	4	1	11
MSH5-SAPCD1	9	7	1	13
MSH6	578	314	206	224
MSI1	59	61	1	13
MSI2	30	30	0	0
MSL1	608	370	255	118
MSL2	308	133	143	57
MSL3	119	18	85	53
MSL3P1	60	19	55	19
MSLN	0	0	0	0
MSMB	0	0	0	0
MSMO1	265	383	442	131
MSMP	0	0	36	0
MSN	1198	364	1454	497
MSR1	5	0	0	14
MSRA	4	7	0	4
MSRB1	42	9	153	18
MSRB2	176	41	112	118
MSRB3	102	16	410	32
MSS51	26	13	0	1
MST1	23	18	24	19
MST1L	3	0	0	0
MST1P2	0	0	0	0
MST1R	1	1	0	0
MSTN	0	3	0	2
MSTO1	112	21	47	56
MSTO2P	1	6	0	0
MSX1	127	31	130	162
MSX2	103	6	658	33
MSX2P1	0	0	0	0
MT1A	0	0	0	0
MT1B	0	0	0	0
MT1DP	0	0	0	0
MT1E	1	0	0	1
MT1F	0	0	0	2
MT1G	0	0	0	0
MT1H	0	0	0	0
MT1HL1	0	0	0	0
MT1IP	0	0	0	0
MT1JP	0	0	0	0
MT1L	1	0	0	0
MT1M	0	0	0	0
MT1X	3	0	44	10
MT2A	559	35	1894	22
MT3	12	48	0	32
MT4	0	0	0	0
MTA1	248	105	340	20
MTA2	236	75	442	58
MTA3	79	47	38	48
MTAP	114	23	206	32
MTBP	31	12	0	1
MTCH1	1508	598	1335	431
MTCH2	759	164	666	184
MTCL1	113	43	65	17
MTCP1	9	5	12	8
MTDH	2006	824	1697	571
MTERF1	12	15	0	1
MTERF2	70	62	59	23
MTERF3	16	7	72	0
MTERF4	190	62	51	37
MTF1	121	71	49	42
MTF2	510	386	232	151
MTFMT	32	9	64	21
MTFP1	48	14	3	17
MTFR1	31	8	2	10
MTFR1L	407	171	232	93
MTFR2	14	6	0	0
MTG1	211	55	127	52
MTG2	136	39	186	22
MTHFD1	97	45	173	70
MTHFD1L	247	90	344	48
MTHFD2	246	86	316	87
MTHFD2L	13	8	0	5
MTHFD2P1	6	2	0	0
MTHFR	209	139	0	84
MTHFS	10	1	42	9
MTHFSD	23	7	0	5
MTIF2	184	89	108	55
MTIF3	287	80	214	140
MTL5	4	0	45	8
MTM1	3	6	0	0
MTMR1	81	17	139	40
MTMR10	69	42	107	13
MTMR11	31	10	59	7
MTMR12	187	183	65	35
MTMR14	84	41	0	48
MTMR2	169	59	2	93
MTMR3	132	64	196	57
MTMR4	194	102	64	37
MTMR6	117	41	32	69
MTMR7	99	25	3	27
MTMR8	3	0	0	0
MTMR9	478	309	228	234
MTMR9LP	15	7	0	12
MTNR1A	0	0	0	0
MTNR1B	0	0	0	0
MTO1	73	25	45	11
MTOR	101	48	54	38
MTOR-AS1	0	18	0	0
MTPAP	129	83	61	57
MTPN	1363	706	952	372
MTR	297	308	144	108
MTRF1	66	12	0	2
MTRF1L	84	44	41	7
MTRNR2L1	64	28	34	39
MTRNR2L10	7	6	0	1
MTRNR2L2	56	14	9	22
MTRNR2L3	200	48	37	73
MTRNR2L4	6	4	0	12
MTRNR2L5	1	1	0	0
MTRNR2L6	7	0	0	2
MTRNR2L7	1	0	0	0
