enteric_water_1	sensory_water_1	enteric_water_2	sensory_water_2
ACAA2	28.5706189250858	40.3866400457292	55.5572775306047	49.5858447174699
ACACA	94.2058245637964	208.896414029634	141.869476551365	126.443904029548
ACACB	3.08871555946873	20.8896414029634	12.8972251410332	2.4792922358735
ACAD10	19.3044722466796	37.601354525334	28.7707330069203	9.91716894349398
ACAD11	82.6231412157886	114.1967063362	42.6600523895714	80.163782293243
ACAD8	21.6210089162811	11.1411420815805	3.96837696647176	31.4043683210643
ACAD9	28.5706189250858	13.9264276019756	55.5572775306047	78.5109208026607
ACADL	0	0	0	0
ACADM	32.4315133744217	122.552562897385	101.19361264503	80.163782293243
ACADS	37.836765603492	13.9264276019756	14.8814136242691	19.834337886988
ACADSB	26.2540822554842	105.840849775014	35.7153926982459	5.78501521703816
ACADVL	98.0667190131323	19.4969986427658	92.2647644704685	95.8659664537752
ACAN	2.31653666960155	61.2762814486925	76.3912566045814	142.972518935372
ACAP1	9.2661466784062	1.39264276019756	12.8972251410332	4.13215372645583
ACAP2	126.637337938218	80.7732800914583	119.051308994153	91.7338127273193
ACAP3	13.1270411277421	18.1043558825682	16.865602107505	47.9329832268876
ACAT1	11.5826833480078	62.6689242088901	28.7707330069203	26.4457838493173
ACAT2	463.30733392031	366.265045931958	314.493874592887	376.02598910748
ACBD3	724.303798695418	176.86563054509	196.434659840352	195.037655888715
ACBD4	0.772178889867184	50.1351393671121	11.9051308994153	25.6193531040261
ACBD5	81.8509623259215	54.3130676477047	67.4624084300199	26.4457838493173
ACBD6	99.6110767928667	52.9204248875072	62.5019372219302	56.1972906797992
ACBD7	2.31653666960155	30.6381407243463	7.93675393294352	9.09073819820282
ACCS	0	0	0	0
ACCSL	0	0	0	0
ACD	50.1916278413669	38.9939972855316	65.4782199467841	33.8836605569378
ACE	3.86089444933592	1.39264276019756	0.99209424161794	0
ACE2	5.40525222907028	0	0	0
ACER1	0	0	0	0
ACER2	3.08871555946873	0	0	0
ACER3	115.05465459021	220.037556111214	90.2805759872326	54.5444291892169
ACHE	32.4315133744217	20.8896414029634	64.4861257051661	47.9329832268876
ACIN1	483.383985056857	661.50531109384	301.596649451854	281.812884144287
ACKR1	2.31653666960155	0	6.94465969132558	0
ACKR2	0	0	0	4.95858447174699
ACKR3	0.772178889867184	26.4602124437536	0.99209424161794	11.5700304340763
ACKR4	0	0	0	0
ACLY	82.6231412157886	82.1659228516559	171.632303799904	121.485319557801
ACMSD	0	0	0	0
ACO1	100.383255682734	214.466985070424	77.3833508461994	125.617473284257
ACO2	132.814769057156	50.1351393671121	96.2331414369402	103.303843161396
ACOT1	0.772178889867184	0	6.94465969132558	1.65286149058233
ACOT11	0	0	0	7.43787670762049
ACOT12	0.772178889867184	0	0	0
ACOT13	94.2058245637964	96.0923504536314	93.2568587120864	58.6765829156727
ACOT2	1.54435777973437	1.39264276019756	9.9209424161794	19.834337886988
ACOT4	0.772178889867184	0	1.98418848323588	0
ACOT6	0	0	0	0.826430745291165
ACOT7	312.732450396209	86.3438511322485	137.901099584894	91.7338127273193
ACOT8	20.0766511365468	18.1043558825682	14.8814136242691	10.7435996887851
ACOT9	38.6089444933592	52.9204248875072	37.6995811814817	79.3373515479519
ACOX1	58.6855956299059	69.6321380098778	62.5019372219302	58.6765829156727
ACOX2	0	0	0	0.826430745291165
ACOX3	34.7480500440233	30.6381407243463	32.739109973392	19.0079071416968
ACOXL	0	16.7117131223707	4.9604712080897	1.65286149058233
ACP1	47.1029122818982	26.4602124437536	67.4624084300199	90.9073819820282
ACP2	27.7984400352186	19.4969986427658	92.2647644704685	95.039535708484
ACP5	0	0	0.99209424161794	0.826430745291165
ACP6	7.72178889867183	5.57057104079023	0	1.65286149058233
ACPP	0	11.1411420815805	0.99209424161794	0
ACPT	0	0	0	0
ACR	0	0	0	0
ACRBP	0	0	0	0
ACRC	7.72178889867183	36.2087117651365	3.96837696647176	0.826430745291165
ACRV1	17.7601144669452	0	0	7.43787670762049
ACSBG1	0	0	0	0
ACSBG2	0	0	5.95256544970764	0
ACSF2	0	22.2822841631609	7.93675393294352	14.0493226699498
ACSF3	6.17743111893747	0	15.873507865887	3.30572298116466
ACSL1	9.2661466784062	0	9.9209424161794	9.09073819820282
ACSL3	263.31300144471	204.718485749041	270.841727961698	104.130273906687
ACSL4	68.7239211981793	50.1351393671121	112.106649302827	77.6844900573695
ACSL5	3.86089444933592	0	0	0
ACSL6	14.6713989074765	0	10.9130366577973	4.13215372645583
ACSM1	0	0	0	0
ACSM2A	0.772178889867184	0	0	0
ACSM2B	0	0	0	0
ACSM3	2.31653666960155	2.78528552039511	15.873507865887	11.5700304340763
ACSM4	0	0	0	0
ACSM5	0	0	0	0
ACSM6	0.772178889867184	0	0	1.65286149058233
ACSS1	3.08871555946873	23.6749269233585	5.95256544970764	31.4043683210643
ACSS2	6.17743111893747	48.7424966069145	23.8102617988306	22.3136301228615
ACSS3	0.772178889867184	32.0307834845438	0	0
ACTA1	4.6330733392031	1.39264276019756	8.92884817456146	3.30572298116466
ACTA2	13.1270411277421	40.3866400457292	110.122460819591	122.311750303092
ACTA2-AS1	13.1270411277421	40.3866400457292	117.067120510917	122.311750303092
ACTB	348.2526793301	603.014315165542	322.430628525831	580.980813939689
ACTBL2	0	0	0	0
ACTC1	14.6713989074765	1.39264276019756	245.047277679631	34.7100913022289
ACTG1	2540.46854766303	1360.61197671301	1164.71863965946	2830.52530262224
ACTG1P17	3.86089444933592	12.533784841778	0	4.13215372645583
ACTG1P20	117.371191259812	114.1967063362	88.2963875039967	104.956704651978
ACTG1P4	3.86089444933592	0	1.98418848323588	0
ACTG2	10.8105044581406	2.78528552039511	27.7786387653023	28.9250760851908
ACTL10	0	0	7.93675393294352	0
ACTL6A	30.8871555946873	33.4234262447414	51.5889005641329	56.1972906797992
ACTL6B	21.6210089162811	12.533784841778	33.73120421501	13.2228919246586
ACTL7A	0	0	0	0.826430745291165
ACTL7B	0	0	0	0
ACTL8	0	0	0	0
ACTL9	0	0	0	0
ACTN1	165.246282431577	207.503771269436	202.38722529006	334.704451842922
ACTN1-AS1	0	0	0	0
ACTN2	2.31653666960155	19.4969986427658	17.8576963491229	2.4792922358735
