enteric_50uM_OXL_1	enteric_50uM_OXL_2	sensory_50uM_OXL_
ACTN3	0	0	0
ACTN4	514.984689235584	1140.4650405522	455.320366575971
ACTR10	264.849268749729	275.385329757913	300.807317990623
ACTR1A	537.349738596672	651.972335469264	412.582714839598
ACTR1B	164.795100555387	98.2823968393965	161.088071929405
ACTR2	1469.03061066516	1568.62597727829	1308.42964546741
ACTR3	214.822184652558	637.375939899056	103.556617668903
ACTR3B	68.2722559443746	85.6321873452167	73.969012620645
ACTR3BP2	0	0	0
ACTR3BP5	0	0	0
ACTR3C	0	0	0
ACTR5	12.948186472209	60.3317683568572	0
ACTR6	140.664389402634	55.4663031667881	64.106477604559
ACTR8	153.612575874843	177.102932918516	108.487885176946
ACTRT1	0	0	3.28751167202867
ACTRT2	0	0	0
ACTRT3	4.11987751388467	0	0
ACVR1	35.3132358332972	94.3900246873412	23.0125817042007
ACVR1B	123.59632541654	37.9506284825392	179.169386125562
ACVR1C	0	0	1.64375583601433
ACVR2A	217.764954305333	69.0896056989817	190.675676977663
ACVR2B	211.290861069228	39.8968145585669	105.200373504917
ACVR2B-AS1	5.88553930554953	0	1.64375583601433
ACVRL1	2.35421572221981	0	67.3939892765877
ACY1	18.8337257777585	23.3542329123318	31.2313608842724
ACY3	0	0	0
ACYP1	48.2614223055062	97.3093038013827	8.21877918007167
ACYP2	8.23975502776935	52.5470240527466	9.862535016086
ADA	35.3132358332972	1.94618607602765	31.2313608842724
ADAD1	0	0	0
ADAD2	5.88553930554953	0	0
ADAL	104.762599638782	3.89237215205531	143.006757733247
ADAM10	60.0325009166052	234.515422161332	115.062908521003
ADAM11	38.8445594166269	0	189.031921141648
ADAM12	277.797455221938	315.28214431648	465.182901592057
ADAM15	1284.81323040146	220.892119629139	1139.12279435793
ADAM17	110.059585013776	11.6771164561659	64.106477604559
ADAM18	0	0	0
ADAM19	115.356570388771	305.551213936342	59.175210096516
ADAM1A	2.94276965277477	66.1703265849402	54.243942588473
ADAM2	0	0.973093038013827	0
ADAM20	0.588553930554953	0	0
ADAM20P1	15.3024021944288	64.2241405089126	3.28751167202867
ADAM21	3.53132358332972	0	0
ADAM21P1	0	0	0
ADAM22	57.0897312638305	0	83.831547636731
ADAM23	105.939707499892	94.3900246873412	93.6940826528171
ADAM28	0.588553930554953	0	8.21877918007167
ADAM29	0	0	0
ADAM30	0.588553930554953	0	0
ADAM32	0.588553930554953	0	0
ADAM33	0	0	0
ADAM3A	0	0	0
ADAM5	0	0	0
ADAM6	0	0	0
ADAM7	0	0	8.21877918007167
ADAM8	4.11987751388467	41.8430006345945	6.57502334405734
ADAM9	59.4439469860503	251.058003807567	208.75699117382
ADAMDEC1	0	0	0
ADAMTS1	52.3812998193908	408.699075965807	103.556617668903
ADAMTS10	38.256005486072	0	187.388165305634
ADAMTS12	22.9536032916432	29.1927911404148	0
ADAMTS13	9.41686288887925	0	3.28751167202867
ADAMTS14	4.11987751388467	0	1.64375583601433
ADAMTS15	20.0108336388684	69.0896056989817	721.608812010293
ADAMTS16	0	0	0
ADAMTS17	0	0	3.28751167202867
ADAMTS18	14.7138482638738	0.973093038013827	19.725070032172
ADAMTS19	15.3024021944288	0	0
ADAMTS19-AS1	0	0	0
ADAMTS2	4.11987751388467	0	55.8876984244874
ADAMTS20	3.53132358332972	0	26.3000933762293
ADAMTS3	4.70843144443963	0	11.5062908521003
ADAMTS4	31.1933583194125	0	44.381407572387
ADAMTS5	30.0162504583026	80.7667221551476	9.862535016086
ADAMTS6	21.7764954305333	29.1927911404148	124.925443537089
ADAMTS7	41.7873290694017	83.6860012691891	0
ADAMTS7P1	4.70843144443963	0	0
ADAMTS8	12.359632541654	0.973093038013827	1.64375583601433
ADAMTS9	70.0379177360394	0	128.212955209118
ADAMTS9-AS1	7.65120109721439	0	50.9564309164444
ADAMTS9-AS2	0	0	0
ADAMTSL1	13.5367404027639	4.86546519006913	55.8876984244874
ADAMTSL2	0.588553930554953	0.973093038013827	6.57502334405734
ADAMTSL3	0	0	18.0813141961577
ADAMTSL4	7.65120109721439	0	0
ADAMTSL4-AS1	0	0	16.4375583601433
ADAMTSL5	0	0	0
ADAP1	98.2885064026772	0	110.13164101296
ADAP2	4.11987751388467	0	39.450140064344
ADAR	491.442532013386	361.990610141143	340.257458054967
ADARB1	71.2150255971493	178.07602595653	169.306851109476
ADARB2	1.17710786110991	0	0
ADARB2-AS1	1.76566179166486	0	0
ADAT1	120.653555763765	0	72.3252567846307
ADAT2	52.9698537499458	20.4349537982904	42.7376517363727
ADAT3	21.7764954305333	38.9237215205531	8.21877918007167
ADCK1	4.70843144443963	39.8968145585669	6.57502334405734
ADCK2	109.471031083221	90.4976525352859	80.5440359647024
ADCK3	19.4222797083135	0.973093038013827	52.6001867524587
ADCK4	25.8963729444179	0	42.7376517363727
ADCK5	47.6728683749512	0	70.6815009486164
ADCY1	48.8499762360611	0.973093038013827	88.7628151447741
ADCY10	2.35421572221981	0	37.8063842283297
ADCY10P1	5.88553930554953	0	14.793802524129
ADCY2	22.3650493610882	30.1658841784286	83.831547636731
ADCY3	54.7355155416107	125.529001903784	55.8876984244874
ADCY4	1.17710786110991	0	3.28751167202867
ADCY5	30.6048043888576	0	59.175210096516
ADCY6	78.8662266943637	179.049118994544	32.8751167202867
ADCY7	15.8909561249837	0	16.4375583601433
ADCY8	1.76566179166486	0	0
ADCY9	23.5421572221981	23.3542329123318	4.931267508043
ADCYAP1	13.5367404027639	0	4.931267508043
ADCYAP1R1	32.3704661805224	0	55.8876984244874
ADD1	277.797455221938	297.766469632231	322.176143858809
ADD2	529.698537499458	0.973093038013827	139.719246061218
ADD3	99.4656142637871	634.456660785015	335.326190546924
ADD3-AS1	2.35421572221981	0	0
ADGB	0	0	0
ADGRA1	11.7710786110991	0	9.862535016086
ADGRA1-AS1	2.94276965277477	0	44.381407572387
ADGRA2	152.435468013733	72.981977851037	164.375583601433
ADGRA3	29.4276965277477	24.3273259503457	70.6815009486164
